geom_name,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
geom_075,178.0,135.1,458.2,1000.0,654.8,188.8,88.28,56.8,40.92,31.41
geom_076,167.7,83.81,627.4,1000.0,557.1,187.0,71.75,52.99,54.79,38.78
geom_077,193.6,140.6,577.2,1000.0,643.6,220.1,60.72,50.35,51.42,29.46
geom_078,129.3,118.2,203.7,1000.0,622.8,187.7,77.43,49.2,57.89,39.02
geom_079,169.0,103.6,695.3,1000.0,788.9,218.7,78.43,59.14,45.28,36.12
geom_080,131.3,192.3,306.6,1000.0,677.0,245.3,73.21,44.82,45.51,29.94
geom_081,165.8,198.2,426.5,1000.0,783.1,240.4,75.26,41.33,40.38,31.88
geom_082,137.7,173.8,608.8,1000.0,792.3,227.6,83.6,47.94,42.73,39.36
geom_083,129.8,72.91,544.1,1000.0,826.9,238.6,63.28,48.88,52.63,33.97
geom_084,115.2,164.8,450.0,1000.0,620.5,227.1,60.15,54.15,53.86,29.51
geom_085,123.9,127.7,322.3,1000.0,745.2,250.8,60.08,54.74,51.4,33.77
geom_086,198.8,153.1,497.1,1000.0,724.5,221.6,76.27,45.8,51.31,29.06
geom_087,193.9,113.7,509.9,1000.0,636.3,277.6,76.02,44.0,40.27,32.98
geom_088,148.1,66.33,302.6,1000.0,680.5,271.4,83.0,45.55,44.09,33.13
geom_089,195.3,134.1,510.1,1000.0,665.6,208.6,63.54,44.09,41.97,24.98
geom_090,128.3,164.9,643.7,1000.0,765.8,210.0,69.24,58.05,46.81,28.32
geom_091,178.7,50.51,671.5,1000.0,686.9,248.0,86.04,42.15,50.8,39.79
geom_092,134.6,148.4,465.3,1000.0,800.5,233.0,62.79,56.22,44.73,33.12
geom_093,177.7,158.8,321.0,1000.0,840.6,230.9,67.7,57.01,51.94,39.46
geom_094,101.7,180.7,224.4,1000.0,607.5,265.9,88.49,47.68,52.21,36.29
geom_095,162.5,151.4,540.1,1000.0,815.6,213.8,78.68,49.35,47.49,38.09
geom_096,174.0,139.9,625.1,1000.0,580.7,238.7,76.57,47.68,46.47,37.14
geom_097,191.0,178.0,397.6,1000.0,839.3,211.3,77.37,48.65,58.76,29.83
geom_098,132.2,199.9,262.9,1000.0,695.0,247.4,81.2,43.45,40.53,29.16
geom_099,119.9,78.7,358.3,1000.0,788.7,211.4,66.2,58.11,45.46,25.0
geom_100,177.0,70.21,626.9,1000.0,604.5,262.8,77.85,53.78,44.91,29.01
geom_101,149.7,153.9,463.6,1000.0,608.6,184.6,65.64,48.48,41.29,24.8
geom_102,132.5,164.4,406.3,1000.0,582.3,240.8,80.3,42.38,47.66,34.88
geom_103,116.6,134.8,395.1,1000.0,837.0,259.0,84.25,58.18,47.81,36.56
geom_104,140.3,65.58,247.5,1000.0,559.2,272.4,74.92,40.19,56.65,27.05
geom_105,158.0,176.7,343.3,1000.0,618.0,265.1,78.58,59.08,56.95,34.33
geom_106,186.0,84.12,385.1,1000.0,717.5,190.4,69.03,52.29,56.0,37.04
geom_107,139.6,162.2,612.7,1000.0,759.7,217.2,70.39,43.62,57.3,34.81
geom_108,164.9,158.7,618.9,1000.0,809.1,190.2,63.62,58.94,43.82,34.82
geom_109,170.6,143.7,579.3,1000.0,826.0,186.1,80.86,59.87,53.33,38.62
geom_110,162.9,168.2,660.9,1000.0,693.9,199.1,78.12,47.5,49.7,29.04
geom_111,134.4,59.68,205.0,1000.0,651.8,230.5,78.36,44.68,45.4,30.4
geom_112,112.5,72.67,372.4,1000.0,626.1,216.9,60.6,56.64,42.82,39.09
geom_113,196.6,102.8,654.7,1000.0,843.2,255.3,65.69,53.69,45.11,39.34
geom_114,108.5,51.19,276.3,1000.0,586.6,243.1,82.45,41.46,56.08,36.85
geom_115,146.7,178.2,387.7,1000.0,677.9,242.0,77.02,55.54,53.44,35.67
geom_116,160.5,128.4,254.3,1000.0,647.1,254.8,75.1,58.42,48.78,32.08
geom_117,116.3,90.56,437.3,1000.0,635.8,226.6,88.35,43.48,56.43,24.18
geom_118,138.2,53.18,569.0,1000.0,671.9,240.5,75.89,51.77,58.56,31.08
geom_119,194.3,193.5,418.1,1000.0,580.2,190.9,74.64,49.29,56.59,27.9
geom_120,151.2,187.6,487.7,1000.0,710.3,247.1,78.56,47.0,49.17,28.41
geom_121,104.2,163.8,330.1,1000.0,735.2,227.9,62.7,55.72,56.73,38.06
geom_122,176.3,175.5,238.5,1000.0,617.4,197.6,86.1,52.21,49.31,36.57
geom_123,179.6,74.66,632.1,1000.0,669.7,263.7,87.64,56.38,56.11,28.83
geom_124,181.7,123.8,432.8,1000.0,710.0,233.9,75.68,58.18,43.56,28.04
geom_125,113.2,54.5,603.4,1000.0,647.9,234.1,67.23,45.79,57.05,24.97
geom_126,155.0,196.7,438.1,1000.0,779.5,211.9,82.51,58.23,50.08,35.64
geom_127,106.8,93.61,454.4,1000.0,819.9,212.4,80.47,52.16,46.0,32.49
geom_128,157.1,128.3,526.5,1000.0,799.6,194.1,81.37,46.83,52.79,33.01
geom_129,186.4,112.7,613.4,1000.0,601.4,190.6,69.53,53.87,53.8,28.73
geom_130,149.5,155.3,288.4,1000.0,670.2,277.7,64.35,56.29,41.81,34.9
geom_131,197.7,105.2,260.4,1000.0,692.8,193.4,78.93,56.51,53.2,33.61
geom_132,114.8,126.8,631.1,1000.0,696.6,195.9,62.98,41.66,52.5,25.35
geom_133,123.0,132.9,549.9,1000.0,657.1,265.2,69.87,59.39,57.52,35.9
geom_134,185.8,141.3,581.6,1000.0,703.8,232.5,89.29,46.86,55.69,38.11
geom_135,179.7,109.2,664.9,1000.0,718.4,183.1,77.16,55.22,51.73,31.76
geom_136,168.3,167.8,208.2,1000.0,567.0,182.8,67.15,43.77,48.45,24.44
geom_137,175.8,134.3,267.1,1000.0,761.6,214.0,67.12,43.76,56.42,37.86
geom_138,196.1,87.12,205.6,1000.0,552.6,272.4,78.04,55.73,52.47,34.25
geom_139,131.3,196.0,607.1,1000.0,772.1,189.9,83.57,56.31,40.71,25.34
geom_140,137.9,192.1,665.8,1000.0,742.1,231.7,71.99,57.2,41.94,26.29
geom_141,159.2,57.26,647.7,1000.0,567.8,259.4,68.99,41.4,57.84,25.48
geom_142,141.6,65.63,407.8,1000.0,630.7,209.5,61.87,55.04,59.87,33.21
geom_143,191.4,182.2,598.0,1000.0,774.6,235.6,82.37,50.87,52.58,26.68
geom_144,180.9,185.1,444.7,1000.0,553.0,201.8,89.5,48.35,50.93,38.79
geom_145,102.3,170.5,326.0,1000.0,760.1,256.6,89.47,50.06,42.66,38.67
geom_146,157.9,52.28,604.5,1000.0,657.9,181.6,61.52,46.74,45.59,30.05
geom_147,151.4,52.2,321.6,1000.0,555.3,223.6,66.91,45.88,55.12,36.77
geom_148,175.0,180.5,617.8,1000.0,671.1,273.5,86.98,51.81,41.94,34.53
geom_149,186.7,179.9,472.7,1000.0,636.0,212.6,70.66,58.55,45.01,24.23
geom_150,132.8,135.3,242.6,1000.0,788.5,278.2,87.85,44.44,51.91,27.74
geom_151,196.4,68.77,622.0,1000.0,756.8,247.8,63.39,50.75,42.78,27.16
geom_152,193.8,50.42,206.6,1000.0,682.9,183.6,83.4,45.48,52.14,32.42
geom_153,195.9,155.4,445.0,1000.0,774.3,263.5,89.42,54.28,52.74,38.31
geom_154,139.5,190.0,537.0,1000.0,842.9,219.4,70.62,59.98,51.06,31.3
geom_155,184.5,183.7,581.5,1000.0,795.1,271.6,65.73,44.78,58.53,30.49
geom_156,126.4,136.8,323.5,1000.0,761.9,228.9,76.74,45.06,58.68,25.57
geom_157,101.3,189.0,545.8,1000.0,594.4,251.0,62.94,46.6,53.74,28.27
geom_158,138.5,133.9,219.2,1000.0,653.7,253.1,65.87,58.63,45.72,39.51
geom_159,191.9,66.83,603.0,1000.0,848.0,187.0,86.77,47.65,56.87,33.53
geom_160,127.0,173.6,485.4,1000.0,739.9,202.0,85.14,40.06,57.7,26.25
geom_161,196.0,62.35,670.2,1000.0,785.8,240.2,63.15,42.17,48.89,32.02
geom_162,118.1,95.93,213.4,1000.0,652.7,250.0,88.83,41.74,52.49,35.49
geom_163,131.6,136.6,535.5,1000.0,727.9,219.6,69.8,52.1,49.66,31.61
geom_164,123.7,156.6,526.4,1000.0,604.7,259.5,60.05,56.24,58.43,37.01
geom_165,194.1,108.0,265.4,1000.0,839.1,226.7,68.44,55.58,56.74,39.42
geom_166,190.9,81.74,609.4,1000.0,719.6,227.2,89.2,55.22,46.28,35.97
geom_167,170.4,137.0,405.6,1000.0,616.5,268.7,88.86,53.58,56.89,26.52
geom_168,156.5,171.9,315.5,1000.0,614.6,202.2,70.69,49.94,49.78,36.24
geom_169,127.3,132.0,588.0,1000.0,818.3,200.3,78.96,42.55,56.34,35.31
geom_170,118.8,154.2,695.8,1000.0,563.1,192.6,85.31,49.94,42.47,38.4
geom_171,152.6,190.6,370.1,1000.0,845.2,183.4,61.92,57.59,59.24,38.8
geom_172,137.1,140.2,547.5,1000.0,632.9,226.8,66.7,48.71,56.24,37.58
geom_173,160.8,187.5,287.0,1000.0,584.7,189.7,61.35,44.27,54.7,38.36
geom_174,158.9,163.3,225.2,1000.0,836.8,223.9,86.53,41.25,44.08,37.43
geom_175,103.0,127.9,689.6,1000.0,719.9,269.1,77.29,43.36,41.05,37.02
geom_176,101.0,141.7,285.1,1000.0,655.9,269.8,88.14,53.05,55.36,26.05
geom_177,198.2,191.1,587.3,1000.0,630.9,231.8,71.9,52.49,57.18,26.01
geom_178,156.2,85.08,350.0,1000.0,698.7,195.8,87.02,44.12,49.48,24.01
geom_179,188.2,159.3,644.0,1000.0,804.1,212.9,72.36,54.36,43.46,38.05
geom_180,107.7,144.8,461.2,1000.0,804.1,236.3,78.32,55.46,42.7,38.84
geom_181,115.8,174.3,202.2,1000.0,613.9,188.7,85.26,55.04,47.54,28.1
geom_182,126.0,182.9,650.4,1000.0,556.8,190.3,79.44,46.28,48.63,36.05
geom_183,106.9,135.5,275.6,1000.0,597.9,202.6,80.06,47.44,54.02,29.78
geom_184,136.3,79.54,431.5,1000.0,763.2,277.0,82.34,57.62,58.49,34.08
geom_185,153.7,177.9,666.1,1000.0,726.4,271.3,89.36,57.12,44.35,36.74
geom_186,136.7,62.69,532.6,1000.0,726.8,185.5,78.9,57.15,41.66,32.26
geom_187,118.9,107.3,620.1,1000.0,798.1,221.9,72.51,57.73,56.18,25.26
geom_188,122.4,89.51,518.0,1000.0,707.5,252.7,84.03,49.36,57.07,33.16
geom_189,178.2,161.6,663.4,1000.0,775.5,278.2,64.13,49.54,53.24,28.22
geom_190,105.8,176.3,598.6,1000.0,662.7,274.0,68.85,49.9,57.82,27.27
geom_191,148.7,105.2,377.2,1000.0,723.8,198.5,86.31,46.56,54.26,31.14
geom_192,112.9,186.9,237.8,1000.0,791.1,198.4,70.79,44.01,43.45,36.89
geom_193,146.2,137.3,580.8,1000.0,835.8,257.9,73.57,55.86,45.23,28.69
geom_194,121.3,121.1,541.7,1000.0,796.8,197.9,61.96,55.53,45.79,26.13
geom_195,132.4,152.8,410.1,1000.0,717.1,182.1,76.4,40.31,55.32,28.92
geom_196,118.9,182.5,468.5,1000.0,592.0,231.0,77.25,54.42,53.89,32.53
geom_197,197.8,56.02,611.2,1000.0,722.5,271.5,77.45,42.92,44.98,36.51
geom_198,171.8,169.0,590.2,1000.0,599.9,248.9,75.33,52.71,48.12,37.76
geom_199,159.5,173.1,588.1,1000.0,592.3,207.9,89.53,56.73,43.49,39.44
geom_200,174.5,136.5,694.2,1000.0,768.6,205.3,72.95,40.51,56.98,29.18
geom_201,182.6,67.37,680.3,1000.0,782.7,273.3,81.62,58.59,41.51,33.05
geom_202,176.8,152.0,597.2,1000.0,698.5,234.1,81.83,41.5,47.69,34.72
geom_203,115.5,110.1,440.7,1000.0,810.6,245.5,76.87,49.74,47.36,35.12
geom_204,150.4,188.1,486.0,1000.0,735.6,184.1,73.63,45.07,59.31,38.5
geom_205,198.8,144.6,333.5,1000.0,600.7,225.8,64.23,49.98,40.84,25.9
geom_206,141.6,54.12,682.1,1000.0,670.8,236.0,60.67,51.46,50.55,28.12
geom_207,158.4,103.0,476.8,1000.0,700.3,274.9,67.29,52.06,47.2,31.05
geom_208,153.6,113.4,676.8,1000.0,780.5,280.0,83.39,55.63,56.01,29.87
geom_209,102.8,184.5,578.3,1000.0,785.7,188.4,70.99,54.97,47.94,35.43
geom_210,124.1,55.57,684.2,1000.0,583.5,253.8,83.97,51.09,48.16,26.09
geom_211,104.8,55.93,523.9,1000.0,728.5,245.7,89.67,54.78,48.95,26.84
geom_212,166.6,166.8,639.5,1000.0,756.1,242.9,70.85,50.08,57.42,36.04
geom_213,199.0,162.3,693.0,1000.0,664.1,216.5,63.91,52.5,55.94,39.37
geom_214,107.7,82.47,488.8,1000.0,778.0,268.4,89.59,49.58,53.96,37.53
geom_215,170.6,188.6,284.9,1000.0,732.3,223.2,81.04,50.81,58.83,37.94
geom_216,146.0,135.9,473.4,1000.0,567.5,209.0,86.48,52.32,40.74,34.07
geom_217,143.6,52.66,409.2,1000.0,643.6,181.0,77.18,53.45,52.61,27.44
geom_218,100.2,184.9,283.0,1000.0,759.4,191.2,84.76,42.94,50.62,33.42
geom_219,198.1,144.4,272.4,1000.0,731.4,204.1,83.89,43.06,55.04,35.33
geom_220,120.8,90.48,394.8,1000.0,762.6,221.0,74.8,45.75,47.65,39.66
geom_221,168.4,124.1,392.1,1000.0,680.0,256.8,64.06,45.1,58.25,26.46
geom_222,100.6,179.6,475.4,1000.0,822.2,214.4,79.91,40.09,48.94,39.31
geom_223,192.5,106.9,605.2,1000.0,637.9,244.9,85.1,58.28,42.41,30.93
geom_224,181.3,79.82,582.6,1000.0,612.5,182.8,86.86,54.48,53.7,25.18
geom_225,185.6,127.3,246.6,1000.0,564.4,248.5,76.52,47.35,46.61,27.68
geom_226,175.5,122.3,469.7,1000.0,812.2,267.5,66.85,46.3,44.54,27.35
geom_227,144.9,112.4,481.5,1000.0,754.4,252.9,87.54,52.38,46.69,38.59
geom_228,104.2,164.1,698.5,1000.0,746.2,260.1,89.08,52.8,55.07,24.34
geom_229,133.6,142.1,549.1,1000.0,641.1,277.8,63.88,44.61,43.42,32.77
geom_230,148.8,130.8,387.0,1000.0,715.0,254.4,61.5,57.48,42.97,26.29
geom_231,128.1,142.6,478.5,1000.0,821.1,229.8,73.6,46.07,56.63,39.15
geom_232,149.0,139.4,331.5,1000.0,561.2,222.4,86.39,45.34,55.45,39.43
geom_233,165.4,190.2,408.4,1000.0,633.5,277.4,81.29,50.46,46.15,37.51
geom_234,112.6,50.12,341.1,1000.0,641.4,222.7,64.48,56.61,54.07,36.39
geom_235,190.9,171.8,360.8,1000.0,575.7,230.0,62.22,47.99,57.61,34.35
geom_236,200.0,151.3,320.3,1000.0,558.7,274.0,72.03,53.97,58.64,32.0
geom_237,110.7,180.2,283.6,1000.0,583.3,239.0,73.35,48.37,44.88,27.11
geom_238,118.7,147.2,367.6,1000.0,587.4,185.3,85.65,44.35,48.5,32.57
geom_239,181.2,159.9,293.9,1000.0,589.7,235.1,83.01,44.14,59.67,39.63
geom_240,135.9,64.1,352.0,1000.0,697.4,200.5,79.23,44.47,46.86,30.24
geom_241,182.3,79.32,499.8,1000.0,629.3,183.1,64.05,52.34,57.59,30.91
geom_242,154.5,112.0,380.5,1000.0,809.6,243.7,60.2,55.79,50.05,32.31
geom_243,128.5,185.7,289.8,1000.0,769.5,180.8,84.49,54.77,47.02,28.29
geom_244,167.0,50.19,386.1,1000.0,805.0,226.9,61.18,50.9,43.94,31.82
geom_245,140.1,137.7,534.0,1000.0,580.5,209.4,72.62,45.59,54.18,25.37
geom_246,139.9,71.47,418.9,1000.0,823.8,251.9,67.63,41.03,45.17,36.32
geom_247,110.0,74.33,646.5,1000.0,627.3,202.3,86.11,58.39,47.77,36.01
geom_248,132.5,156.7,309.1,1000.0,655.0,272.0,78.74,51.0,48.28,35.99
geom_249,198.3,162.4,387.1,1000.0,617.6,221.0,64.42,50.56,53.71,26.73
geom_250,141.8,76.28,683.8,1000.0,577.1,196.2,68.43,54.04,53.52,27.83
geom_251,108.6,195.4,212.0,1000.0,754.9,253.7,76.13,45.62,43.62,27.37
geom_252,193.1,147.5,576.6,1000.0,590.4,214.8,72.93,40.38,42.85,27.5
geom_253,127.5,55.36,553.8,1000.0,834.9,236.7,74.17,45.99,41.34,32.1
geom_254,106.3,92.51,249.3,1000.0,832.3,263.9,85.14,47.2,56.5,38.47
geom_255,109.2,68.28,229.6,1000.0,841.3,181.5,60.84,42.22,58.89,24.92
geom_256,175.1,104.1,227.1,1000.0,812.1,243.3,65.44,54.26,40.76,24.78
geom_257,101.2,122.1,540.5,1000.0,563.3,275.3,68.52,46.24,53.29,36.16
geom_258,106.6,54.81,535.8,1000.0,627.5,271.8,76.41,55.13,48.2,38.76
geom_259,174.4,97.09,691.1,1000.0,793.1,219.1,75.81,41.87,54.55,36.46
geom_260,181.8,114.6,235.8,1000.0,617.1,275.5,86.94,49.51,46.18,35.2
geom_261,148.7,196.4,261.0,1000.0,568.9,246.8,73.9,51.08,49.62,38.26
geom_262,199.4,77.06,409.9,1000.0,785.4,224.5,68.1,49.7,45.81,34.64
geom_263,167.7,118.6,617.0,1000.0,704.4,206.1,76.32,48.54,49.35,30.33
geom_264,107.6,147.3,521.1,1000.0,667.4,232.8,70.1,48.38,54.19,36.37
geom_265,158.8,66.02,536.4,1000.0,550.8,247.2,71.31,49.05,48.28,36.36
geom_266,146.1,125.7,477.4,1000.0,699.2,250.7,69.56,40.55,45.04,28.62
geom_267,169.7,188.3,658.1,1000.0,644.7,194.5,88.08,46.17,49.14,33.14
geom_268,195.5,88.57,612.4,1000.0,832.8,221.4,89.57,51.37,42.21,33.43
geom_269,113.5,106.2,219.0,1000.0,681.0,246.2,72.41,44.97,53.12,26.87
geom_270,190.0,166.1,654.3,1000.0,826.6,219.7,74.74,41.96,40.95,25.52
geom_271,111.7,98.53,689.2,1000.0,610.6,270.4,61.41,43.88,47.45,37.96
geom_272,148.6,196.2,494.5,1000.0,829.2,226.1,72.54,49.02,46.06,36.47
geom_273,132.0,130.0,406.8,1000.0,578.8,199.2,69.94,59.37,56.46,30.56
geom_274,168.8,77.91,459.7,1000.0,803.5,277.5,72.99,46.06,54.73,24.15
geom_275,133.2,180.0,673.7,1000.0,729.2,261.5,82.19,46.03,40.19,31.39
geom_276,199.7,112.3,338.6,1000.0,693.6,241.6,64.74,45.92,55.91,35.6
geom_277,180.5,85.6,567.1,1000.0,554.0,204.8,86.0,50.68,50.2,25.8
geom_278,181.3,168.9,695.0,1000.0,715.6,229.3,80.74,48.96,54.21,37.44
geom_279,178.5,73.65,419.7,1000.0,553.5,275.9,70.56,44.04,52.83,25.7
geom_280,157.3,153.3,271.6,1000.0,747.5,274.3,73.03,59.23,49.53,33.88
geom_281,180.3,73.19,566.2,1000.0,821.4,216.1,63.58,48.63,53.17,31.75
geom_282,185.9,108.8,593.6,1000.0,705.1,274.5,78.69,48.66,52.75,36.09
geom_283,141.2,186.5,619.1,1000.0,689.7,267.0,75.32,47.21,58.14,39.58
geom_284,160.4,151.0,516.6,1000.0,644.4,213.0,87.61,40.14,43.67,25.09
geom_285,169.8,90.88,600.1,1000.0,577.4,222.1,77.51,40.23,51.34,35.76
geom_286,100.0,78.49,263.7,1000.0,789.8,233.1,76.68,49.73,46.62,36.77
geom_287,192.8,145.5,671.9,1000.0,642.1,239.2,60.45,54.12,50.57,25.38
geom_288,135.4,178.4,606.3,1000.0,679.7,219.1,79.38,52.73,55.73,34.39
geom_289,136.4,181.9,381.3,1000.0,744.2,180.6,68.91,57.76,40.21,30.71
geom_290,192.7,69.3,350.8,1000.0,565.7,231.9,64.65,53.38,55.24,31.36
geom_291,198.0,53.48,494.7,1000.0,634.9,253.6,68.46,53.29,58.75,24.27
geom_292,132.8,99.48,520.8,1000.0,624.6,264.7,79.29,51.67,49.4,27.51
geom_293,128.3,131.9,361.8,1000.0,631.8,266.7,75.85,51.69,59.52,39.24
geom_294,158.2,156.9,440.3,1000.0,726.5,224.5,65.99,41.09,55.77,36.34
geom_295,140.8,154.1,381.0,1000.0,696.0,244.0,63.1,54.71,44.22,29.56
geom_296,197.2,84.49,254.7,1000.0,595.1,207.3,65.4,55.8,43.18,24.75
geom_297,110.9,134.5,215.5,1000.0,722.2,222.0,64.88,43.25,46.98,34.02
geom_298,154.8,119.3,299.8,1000.0,740.6,207.2,80.15,41.63,57.23,39.85
geom_299,116.1,124.9,399.2,1000.0,688.8,225.4,79.96,58.88,41.08,30.34
geom_300,163.5,136.2,683.4,1000.0,761.4,260.8,70.2,41.14,57.36,33.48
geom_301,116.8,56.87,304.1,1000.0,593.5,271.1,78.41,55.97,52.71,32.17
