case_name,geom_name,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,alt_kft,Re,M_inf,alpha_deg,beta_deg,CD,CL,Cmy
case_0032,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,5.577,36640000.0,0.25,16.48,0.0,0.0574009,0.267681,-0.115957
case_0033,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,26.74,37520000.0,0.3873,0.9686,0.0,0.00406896,0.0200852,-0.00854259
case_0034,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,35.43,8413000.0,0.1726,5.984,0.0,0.0140244,0.112594,-0.0473702
case_0035,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,20.08,3380000.0,0.06672,-6.657,0.0,0.0259909,-0.123912,0.0526347
case_0036,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,3.355,4503000.0,0.4559,-9.666,0.0,0.0191062,-0.169709,0.0697192
case_0037,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,19.66,10060000.0,0.2879,9.611,0.0,0.0198903,0.179223,-0.0753563
case_0038,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,31.7,4517000.0,0.1035,-2.679,0.0,0.0137999,-0.0485878,0.0203158
case_0039,geom_003,194.7,96.34,207.7,1000.0,605.1,263.2,64.83,59.0,40.09,39.77,10.37,63230000.0,0.4408,13.43,0.0,0.038343,0.207355,-0.0867553
case_0041,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,19.77,16380000.0,0.3646,-8.873,0.0,0.0192854,-0.230503,0.0966657
case_0042,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,29.71,7843000.0,0.113,6.72,0.0,0.0223952,0.176082,-0.0751142
case_0043,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,22.37,9417000.0,0.1401,17.96,0.0,0.0869511,0.386619,-0.163525
case_0044,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,8.023,64000000.0,0.4206,-5.199,0.0,0.00887881,-0.140598,0.0593613
case_0045,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,37.89,4421000.0,0.4075,15.88,0.0,0.0707471,0.311253,-0.130004
case_0046,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,15.28,3129000.0,0.2683,-0.6172,0.0,0.00987332,-0.0132944,0.00526196
case_0048,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,7.593,3763000.0,0.06838,-1.875,0.0,0.0225228,-0.0463248,0.0194082
case_0049,geom_004,175.5,154.7,304.7,1000.0,846.5,237.3,88.51,42.28,57.91,36.08,1.989,20600000.0,0.1946,3.428,0.0,0.0104455,0.0926381,-0.0395534
case_0050,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,38.76,1816000.0,0.09455,-2.505,0.0,0.0172758,-0.0580989,0.0281402
case_0051,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,11.34,3557000.0,0.4455,0.127,0.0,0.00567225,0.00651233,-0.00352487
case_0052,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,21.66,20110000.0,0.3674,11.43,0.0,0.028858,0.275824,-0.134135
case_0053,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,2.595,12970000.0,0.1151,17.12,0.0,0.0682958,0.374139,-0.181833
case_0054,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,13.71,65250000.0,0.4592,-6.228,0.0,0.0102174,-0.161472,0.0791347
case_0055,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,5.686,48850000.0,0.3251,3.484,0.0,0.00691325,0.0914467,-0.0451293
case_0056,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,32.07,6560000.0,0.19,10.49,0.0,0.028537,0.251016,-0.122518
case_0057,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,26.1,13690000.0,0.1538,7.001,0.0,0.0195474,0.172641,-0.0846559
case_0058,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,29.4,3821000.0,0.3136,16.99,0.0,0.0722077,0.312943,-0.152886
case_0059,geom_005,152.8,134.4,332.8,1000.0,752.7,256.1,87.98,57.09,58.63,32.94,19.21,21490000.0,0.2632,-8.32,0.0,0.0169349,-0.201891,0.0981712
case_0060,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,19.05,16050000.0,0.2118,3.337,0.0,0.00933132,0.0879342,-0.0321789
case_0061,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,25.54,36430000.0,0.4626,12.51,0.0,0.0430271,0.240792,-0.0836177
case_0062,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,12.0,2555000.0,0.08137,10.43,0.0,0.0365975,0.246391,-0.0903777
case_0063,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,22.46,11350000.0,0.3528,17.97,0.0,0.0745356,0.320039,-0.11551
case_0064,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,29.08,16710000.0,0.4157,7.94,0.0,0.0161229,0.203399,-0.0732676
case_0065,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,2.73,18690000.0,0.2705,-3.711,0.0,0.00801771,-0.0880769,0.0316315
case_0066,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,35.16,8971000.0,0.115,-0.5533,0.0,0.0128445,-0.00873583,0.00297782
case_0067,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,12.77,31060000.0,0.2765,-7.357,0.0,0.0132798,-0.18139,0.0657621
case_0068,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,6.836,4040000.0,0.3945,-4.62,0.0,0.00930231,-0.111944,0.0402836
case_0069,geom_006,159.9,69.39,459.1,1000.0,791.6,261.6,72.89,46.66,41.62,37.33,36.63,11490000.0,0.1731,14.84,0.0,0.0502419,0.321516,-0.114763
case_0070,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,31.17,33100000.0,0.4209,13.0,0.0,0.0324903,0.259933,-0.106168
case_0071,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,17.49,36440000.0,0.3327,1.161,0.0,0.00428813,0.0300121,-0.0129444
case_0072,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,33.11,17360000.0,0.3154,16.26,0.0,0.0471871,0.298289,-0.120975
case_0073,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,12.74,29540000.0,0.3984,-1.997,0.0,0.00606026,-0.0410147,0.0169932
case_0074,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,10.06,20660000.0,0.2262,10.51,0.0,0.0204976,0.221211,-0.0918454
case_0075,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,7.091,6854000.0,0.2545,3.417,0.0,0.00890917,0.0766885,-0.0324405
case_0076,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,26.69,794700.0,0.07718,-8.318,0.0,0.0269002,-0.16884,0.0703899
case_0077,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,21.61,18250000.0,0.4838,-4.59,0.0,0.00806246,-0.10105,0.0422737
case_0078,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,2.756,8637000.0,0.1093,17.12,0.0,0.0595673,0.312145,-0.128162
case_0079,geom_007,124.0,137.5,379.9,1000.0,592.7,213.7,74.65,57.56,48.24,37.69,36.72,10830000.0,0.1477,7.975,0.0,0.0173832,0.172697,-0.0725744
case_0080,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,30.24,2256000.0,0.2882,-6.169,0.0,0.0179875,-0.199605,0.0884534
case_0081,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,25.81,3265000.0,0.0724,14.8,0.0,0.0777011,0.434312,-0.192719
case_0082,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,3.962,23270000.0,0.1338,-1.164,0.0,0.0139274,-0.0309955,0.01315
case_0083,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,33.71,17930000.0,0.3343,12.62,0.0,0.0576321,0.293503,-0.123284
case_0084,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,21.51,14650000.0,0.4863,10.55,0.0,0.0438134,0.248203,-0.10308
case_0085,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,16.98,4397000.0,0.2406,-7.83,0.0,0.0223794,-0.253531,0.112333
case_0086,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,15.32,23360000.0,0.1968,6.505,0.0,0.0178636,0.236184,-0.107133
case_0088,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,36.71,9528000.0,0.4109,0.9792,0.0,0.00631034,0.0493617,-0.0235451
case_0089,geom_008,193.4,148.8,638.2,1000.0,727.3,195.0,79.58,45.23,51.58,26.75,10.8,22580000.0,0.142,4.07,0.0,0.0164383,0.150689,-0.0687188
case_0090,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,38.88,9526000.0,0.1851,6.595,0.0,0.0140377,0.152102,-0.0610024
case_0091,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,18.53,50290000.0,0.4399,8.181,0.0,0.0145,0.198159,-0.0795005
case_0092,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,10.09,58630000.0,0.3379,19.68,0.0,0.0965448,0.299517,-0.131904
case_0093,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,0.2713,67670000.0,0.4749,14.63,0.0,0.054884,0.231825,-0.0949242
case_0094,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,14.45,10840000.0,0.1767,-6.995,0.0,0.0152884,-0.153756,0.0610565
case_0095,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,22.83,5239000.0,0.09574,-0.07351,0.0,0.0136973,0.00112058,-0.000650927
case_0096,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,27.52,7103000.0,0.2382,2.893,0.0,0.00943654,0.0675881,-0.0271758
case_0097,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,5.525,8725000.0,0.07277,-3.793,0.0,0.0188275,-0.082338,0.0328658
case_0098,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,32.19,3354000.0,0.3066,-7.971,0.0,0.0165347,-0.174229,0.0690035
case_0099,geom_009,103.0,181.6,322.6,1000.0,734.2,254.9,63.32,56.67,47.28,28.89,30.25,2985000.0,0.3799,12.96,0.0,0.0361097,0.259375,-0.101908
case_0100,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,25.73,12610000.0,0.1305,-9.932,0.0,0.0300568,-0.293032,0.122717
case_0101,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,1.893,17500000.0,0.3538,9.532,0.0,0.0234081,0.301615,-0.127257
case_0102,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,11.59,15500000.0,0.1943,-5.936,0.0,0.0152019,-0.18031,0.0759854
case_0103,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,7.732,28910000.0,0.3019,6.729,0.0,0.0143539,0.220919,-0.09454
case_0104,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,23.23,36030000.0,0.4232,-0.7577,0.0,0.00449196,-0.0205829,0.00836543
case_0105,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,16.17,2700000.0,0.09036,14.11,0.0,0.0604196,0.388397,-0.161021
case_0106,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,15.39,22830000.0,0.1586,11.06,0.0,0.03307,0.322124,-0.133967
case_0107,geom_010,153.7,159.5,450.8,1000.0,593.1,278.9,74.51,41.65,53.48,35.87,31.06,27080000.0,0.4607,3.969,0.0,0.00780069,0.138614,-0.0598566
case_0110,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,12.72,15160000.0,0.1905,10.99,0.0,0.0193083,0.16001,-0.0549837
case_0111,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,33.55,2216000.0,0.09084,-7.579,0.0,0.018551,-0.10801,0.0372291
case_0112,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,11.46,55650000.0,0.4218,-2.473,0.0,0.00346133,-0.0354103,0.0117642
case_0113,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,23.8,4173000.0,0.2647,15.98,0.0,0.0378004,0.21388,-0.0738662
case_0114,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,3.664,1943000.0,0.1562,7.61,0.0,0.0152535,0.109408,-0.0374254
case_0115,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,17.77,64060000.0,0.4722,19.56,0.0,0.075419,0.210985,-0.0860785
case_0116,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,29.58,11110000.0,0.1387,1.707,0.0,0.00797141,0.0262263,-0.00903191
case_0117,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,6.842,40110000.0,0.3079,-4.984,0.0,0.00625002,-0.0716251,0.0240743
case_0118,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,27.12,20890000.0,0.3638,13.29,0.0,0.0262532,0.163875,-0.0549083
case_0119,geom_011,156.7,61.95,227.5,1000.0,616.8,276.2,72.67,53.71,50.39,36.73,39.45,7940000.0,0.3858,4.253,0.0,0.00739495,0.0632147,-0.0213981
case_0120,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,35.05,7696000.0,0.332,-3.18,0.0,0.00857559,-0.109913,0.0658866
case_0121,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,17.82,15290000.0,0.1484,-7.764,0.0,0.0239193,-0.256089,0.15194
case_0122,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,12.15,4185000.0,0.2123,-5.445,0.0,0.0156872,-0.179806,0.106774
case_0123,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,27.75,18300000.0,0.4658,9.845,0.0,0.038083,0.279933,-0.159149
case_0124,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,8.528,22240000.0,0.2907,12.86,0.0,0.0588714,0.347598,-0.197973
case_0125,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,1.174,32780000.0,0.2689,18.93,0.0,0.12282,0.461141,-0.265647
case_0126,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,5.535,66350000.0,0.3986,2.343,0.0,0.00620038,0.0883562,-0.0541851
case_0127,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,39.83,6787000.0,0.1086,16.13,0.0,0.0851468,0.463627,-0.268864
case_0128,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,29.61,4837000.0,0.08405,5.04,0.0,0.0259499,0.171169,-0.102419
case_0129,geom_012,183.6,195.5,439.3,1000.0,550.2,246.2,67.52,57.92,59.01,33.71,21.67,4386000.0,0.4334,-0.4441,0.0,0.00703362,-0.0124631,0.00693497
case_0130,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,4.695,48490000.0,0.4526,6.561,0.0,0.0132205,0.22135,-0.0917648
case_0131,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,1.037,12920000.0,0.3614,3.543,0.0,0.00830412,0.11998,-0.050324
case_0132,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,28.38,17160000.0,0.2677,-2.494,0.0,0.00768358,-0.0748384,0.0305491
case_0133,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,10.51,838300.0,0.06215,12.57,0.0,0.0618915,0.362938,-0.149451
case_0134,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,18.79,9010000.0,0.1527,9.914,0.0,0.030274,0.301416,-0.123894
case_0135,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,24.31,8498000.0,0.295,15.93,0.0,0.0774603,0.373493,-0.146143
case_0136,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,12.46,20800000.0,0.3671,-9.736,0.0,0.024388,-0.289498,0.115979
case_0137,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,22.4,12470000.0,0.1312,0.05299,0.0,0.0125029,0.00643457,-0.00308482
case_0138,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,32.08,15150000.0,0.2062,19.17,0.0,0.115642,0.430042,-0.1742
case_0139,geom_013,167.2,175.7,447.7,1000.0,715.7,221.2,80.82,42.99,46.56,38.64,39.72,29440000.0,0.4985,-6.02,0.0,0.0113956,-0.200248,0.0827694
case_0140,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,2.194,84550000.0,0.4634,5.416,0.0,0.00924797,0.185182,-0.103503
case_0141,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,11.17,15580000.0,0.1975,18.97,0.0,0.10415,0.371679,-0.189703
case_0142,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,32.68,17750000.0,0.2599,-5.657,0.0,0.0109892,-0.166139,0.0902662
case_0143,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,14.12,56120000.0,0.3972,-7.668,0.0,0.0139466,-0.229265,0.124338
case_0144,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,29.78,4403000.0,0.1537,4.642,0.0,0.0154795,0.141898,-0.0781775
case_0145,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,16.69,7830000.0,0.3042,1.747,0.0,0.00933057,0.0597544,-0.0336968
case_0146,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,26.63,1748000.0,0.05358,-2.753,0.0,0.0347802,-0.0713575,0.0382319
case_0147,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,20.23,34550000.0,0.4503,13.55,0.0,0.0581296,0.266649,-0.13225
case_0148,geom_014,114.2,182.3,651.5,1000.0,627.9,194.9,82.06,52.4,57.74,37.2,37.97,13840000.0,0.3242,9.787,0.0,0.0301796,0.257306,-0.133793
case_0150,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,9.645,13820000.0,0.182,6.497,0.0,0.0159876,0.180514,-0.0602021
case_0151,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,22.14,4977000.0,0.07689,-2.062,0.0,0.0198667,-0.0509316,0.0168106
case_0152,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,26.31,32220000.0,0.3383,4.758,0.0,0.00908582,0.138015,-0.0459898
case_0153,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,38.43,4289000.0,0.4959,10.01,0.0,0.0275822,0.258651,-0.083555
case_0154,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,15.27,18360000.0,0.1356,-7.77,0.0,0.0206439,-0.204251,0.0676329
case_0155,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,29.78,14370000.0,0.3916,12.48,0.0,0.0354953,0.311323,-0.100711
case_0156,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,19.33,2124000.0,0.1994,-6.556,0.0,0.0174764,-0.167685,0.0550446
case_0157,geom_015,175.7,143.3,421.1,1000.0,650.6,207.9,69.57,40.34,40.78,27.33,35.95,23300000.0,0.4217,1.714,0.0,0.00516719,0.0547029,-0.0184378
